Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Sunday Mar 30,boxscore,ATL,@,WSN,L-wo,2,3,,0-1,5,1.0,Rauch,Moylan,,2:22,N,39389,1.08,-,
2,Monday Mar 31,boxscore,ATL,,PIT,L,11,12,12,0-2,5,2.0,Osoria,Boyer,,4:28,N,45269,.90,--,
3,Wednesday Apr 2,boxscore,ATL,,PIT,W,10,2,,1-2,3,2.0,Jurrjens,Gorzelanny,,2:57,N,17893,.82,+,
4,Thursday Apr 3,boxscore,ATL,,PIT,L,3,4,10,1-3,5,2.0,Yates,Resop,Capps,3:21,N,19240,.87,-,
5,Saturday Apr 5,boxscore,ATL,,NYM,W,11,5,,2-3,4,1.0,Hudson,Maine,,3:27,D,36130,.91,+,
6,Sunday Apr 6,boxscore,ATL,,NYM,W,3,1,,3-3,1,Tied,Smoltz,Santana,Soriano,2:35,D,39414,1.02,++,
7,Monday Apr 7,boxscore,ATL,@,COL,L,1,2,,3-4,2,1.0,Herges,Boyer,Corpas,2:05,N,24304,.93,-,
8,Tuesday Apr 8,boxscore,ATL,@,COL,L,3,4,,3-5,3,1.5,Jimenez,Jurrjens,Corpas,2:24,N,24640,.91,--,
9,Wednesday Apr 9,boxscore,ATL,@,COL,L,6,12,,3-6,4,2.5,Redman,James,,2:44,N,23210,.89,---,
10,Friday Apr 11,boxscore,ATL,@,WSN,W,3,0,,4-6,4,3.0,Hudson,Chico,Moylan,2:15,N,28051,.90,+,
11,Saturday Apr 12,boxscore,ATL,@,WSN,W,10,2,,5-6,4,2.0,Smoltz,Lannan,,2:44,D,32532,.93,++,
12,Sunday Apr 13,boxscore,ATL,@,WSN,L,4,5,,5-7,4,2.0,Redding,Glavine,Rauch,3:06,D,29151,.97,-,
13,Tuesday Apr 15,boxscore,ATL,@,FLA,L,0,4,,5-8,4,3.0,Olsen,Jurrjens,,2:36,N,10462,1.10,--,
14,Wednesday Apr 16,boxscore,ATL,@,FLA,L,5,6,,5-9,4,4.0,Hendrickson,Hudson,Gregg,2:41,N,10712,1.01,---,
15,Thursday Apr 17,boxscore,ATL,@,FLA,W,8,0,,6-9,4,3.0,Smoltz,Nolasco,,2:53,N,11237,.95,+,
16,Friday Apr 18,boxscore,ATL,,LAD,W,6,1,,7-9,4,2.5,Ohman,Lowe,,3:03,N,38250,.84,++,
17,Saturday Apr 19,boxscore,ATL,,LAD,W,4,1,,8-9,3,2.5,James,Billingsley,Acosta,2:40,D,40451,.87,+++,
18,Sunday Apr 20,boxscore,ATL,,LAD,W,6,1,,9-9,3,2.0,Jurrjens,Kuroda,,3:11,D,36772,.94,++++,
19,Monday Apr 21,boxscore,ATL,,WSN,W,7,3,,10-9,3,2.0,Hudson,Chico,,2:50,N,16706,1.04,+++++,
20,Tuesday Apr 22,boxscore,ATL,,WSN,L,0,6,,10-10,4,2.0,Lannan,Smoltz,,2:48,N,23482,1.07,-,
