Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Mar 31,boxscore,CHC,,MIL,L,3,4,10,0-1,4,1.0,Gagne,Howry,Riske,2:59,D,41089,1.00,-,
2,Wednesday Apr 2,boxscore,CHC,,MIL,L,2,8,,0-2,6,2.0,Suppan,Lilly,,3:23,D,39468,.95,--,
3,Thursday Apr 3,boxscore,CHC,,MIL,W,6,3,,1-2,5,1.0,Dempster,Bush,Wood,2:49,D,37973,.89,+,
4,Friday Apr 4,boxscore,CHC,,HOU,L,3,4,,1-3,6,2.0,Wright,Lieber,Valverde,2:26,D,37812,.92,-,
5,Saturday Apr 5,boxscore,CHC,,HOU,W,9,7,,2-3,4,2.0,Hart,Oswalt,Wood,2:53,D,40707,.89,+,
6,Sunday Apr 6,boxscore,CHC,,HOU,W,3,2,,3-3,4,2.0,Zambrano,Villarreal,Wood,2:31,D,40929,.90,++,
7,Monday Apr 7,boxscore,CHC,@,PIT,W,10,8,12,4-3,3,1.5,Lieber,Meek,Marmol,4:47,D,37491,.98,+++,
8,Wednesday Apr 9,boxscore,CHC,@,PIT,W,6,4,15,5-3,3,1.5,Hart,Dumatrait,Marshall,4:20,N,9735,1.03,++++,
9,Thursday Apr 10,boxscore,CHC,@,PIT,W,7,3,,6-3,2,0.5,Lieber,Morris,,2:30,N,9798,1.09,+++++,
10,Friday Apr 11,boxscore,CHC,@,PHI,L,3,5,,6-4,2,1.5,Myers,Zambrano,Lidge,2:24,N,37368,1.04,-,
11,Saturday Apr 12,boxscore,CHC,@,PHI,L,1,7,,6-5,3,2.5,Hamels,Lilly,,2:54,N,45072,1.04,--,
12,Sunday Apr 13,boxscore,CHC,@,PHI,W,6,5,10,7-5,3,1.5,Wood,Seanez,Howry,3:45,D,40095,.97,+,
13,Tuesday Apr 15,boxscore,CHC,,CIN,W,9,5,,8-5,2,1.5,Dempster,Harang,,2:52,N,39130,1.09,++,
14,Wednesday Apr 16,boxscore,CHC,,CIN,W,12,3,,9-5,2,1.5,Zambrano,Fogg,,2:52,N,40099,1.16,+++,
15,Thursday Apr 17,boxscore,CHC,,CIN,L,2,9,,9-6,2,1.5,Volquez,Lilly,,3:05,D,39534,1.18,-,
16,Friday Apr 18,boxscore,CHC,,PIT,W,3,2,,10-6,2,1.5,Hill,Snell,Wood,2:29,D,39118,1.15,+,
17,Saturday Apr 19,boxscore,CHC,,PIT,W,13,1,,11-6,2,0.5,Marquis,Gorzelanny,,3:02,D,40298,1.16,++,
18,Sunday Apr 20,boxscore,CHC,,PIT,W,13,6,,12-6,1,up 0.5,Dempster,Duke,,3:13,D,41405,1.24,+++,
19,Monday Apr 21,boxscore,CHC,,NYM,W,7,1,,13-6,1,up 0.5,Zambrano,Maine,,2:45,N,40582,1.21,++++,
20,Tuesday Apr 22,boxscore,CHC,,NYM,W,8,1,,14-6,1,up 1.5,Lilly,Figueroa,,3:15,D,40503,1.26,+++++,
21,Wednesday Apr 23,boxscore,CHC,@,COL,W,7,6,10,15-6,1,up 2.0,Wood,Wells,Marmol,3:19,N,36864,1.30,++++++,
22,Thursday Apr 24,boxscore,CHC,@,COL,L,2,4,,15-7,1,up 1.5,Cook,Hart,Fuentes,2:18,D,32791,1.31,-,
23,Friday Apr 25,boxscore,CHC,@,WSN,L-wo,3,5,,15-8,1,up 1.5,Rauch,Howry,,2:50,N,35154,1.28,--,
24,Saturday Apr 26,boxscore,CHC,@,WSN,W,7,0,,16-8,1,up 1.5,Zambrano,Chico,,2:52,N,35188,1.22,+,
25,Sunday Apr 27,boxscore,CHC,@,WSN,L,0,2,,16-9,1,up 0.5,Lannan,Lilly,Rauch,2:31,D,33795,1.25,-,
26,Tuesday Apr 29,boxscore,CHC,,MIL,L,7,10,,16-10,1,Tied,Sheets,Marquis,Gagne,3:40,N,39543,1.41,--,
27,Wednesday Apr 30,boxscore,CHC,,MIL,W,19,5,,17-10,1,Tied,Dempster,Suppan,,3:33,N,39908,1.37,+,
28,Thursday May 1,boxscore,CHC,,MIL,L,3,4,,17-11,2,0.5,Shouse,Wood,Gagne,2:56,D,40849,1.41,-,
29,Friday May 2,boxscore,CHC,@,STL,L-wo,3,5,11,17-12,2,1.5,Villone,Fox,,3:41,N,45077,1.44,--,
30,Saturday May 3,boxscore,CHC,@,STL,W,9,3,,18-12,2,0.5,Lilly,Lohse,,2:53,D,46792,1.46,+,
31,Sunday May 4,boxscore,CHC,@,STL,L,3,5,,18-13,2,1.5,Wellemeyer,Marquis,Isringhausen,2:52,N,44969,1.47,-,
32,Monday May 5,boxscore,CHC,@,CIN,L,3,5,,18-14,2,2.5,Cueto,Dempster,Cordero,2:40,N,20289,1.31,--,
33,Tuesday May 6,boxscore,CHC,@,CIN,W,3,0,,19-14,2,2.5,Zambrano,Harang,Wood,2:30,N,21153,1.23,+,
34,Wednesday May 7,boxscore,CHC,@,CIN,L,0,9,,19-15,2,2.5,Volquez,Lieber,,2:58,D,28418,1.23,-,
35,Friday May 9,boxscore,CHC,,ARI,W,3,1,,20-15,2,1.0,Lilly,Haren,Wood,2:31,D,40236,1.24,+,
36,Saturday May 10,boxscore,CHC,,ARI,W,7,2,,21-15,2,1.0,Eyre,Qualls,,2:52,D,41597,1.26,++,
37,Sunday May 11,boxscore,CHC,,ARI,W,6,4,,22-15,1,Tied,Marmol,Pena,Wood,2:55,D,39740,1.29,+++,
38,Monday May 12,boxscore,CHC,,SDP,W,12,3,,23-15,1,up 1.0,Zambrano,Wolf,,2:40,N,39528,1.26,++++,
39,Tuesday May 13,boxscore,CHC,,SDP,L,3,4,,23-16,1,up 1.0,Estes,Marquis,Hoffman,2:30,N,40028,1.29,-,
40,Wednesday May 14,boxscore,CHC,,SDP,W,8,5,,24-16,1,up 1.0,Lilly,Peavy,,2:51,N,39650,1.33,+,
41,Thursday May 15,boxscore,CHC,,SDP,W,4,0,,25-16,1,up 1.5,Dempster,Maddux,Wood,2:20,D,40629,1.35,++,
42,Friday May 16,boxscore,CHC,,PIT,W,7,4,,26-16,1,up 2.5,Gallagher,Gorzelanny,Wood,2:27,D,40537,1.50,+++,
43,Saturday May 17,boxscore,CHC,,PIT,L,6,7,,26-17,1,up 2.0,Marte,Marmol,Capps,2:44,D,41686,1.49,-,
44,Sunday May 18,boxscore,CHC,,PIT,W,4,3,,27-17,1,up 2.0,Marquis,Dumatrait,Wood,2:42,D,41321,1.53,+,
45,Monday May 19,boxscore,CHC,@,HOU,W,7,2,,28-17,1,up 2.0,Lilly,Moehler,,3:19,N,32458,1.59,++,
46,Tuesday May 20,boxscore,CHC,@,HOU,L,2,4,,28-18,1,up 2.0,Sampson,Dempster,Valverde,2:31,N,33339,1.59,-,
47,Wednesday May 21,boxscore,CHC,@,HOU,L,3,5,,28-19,1,up 1.0,Chacon,Gallagher,Valverde,2:36,N,33251,1.62,--,
48,Friday May 23,boxscore,CHC,@,PIT,W,12,3,,29-19,1,up 1.0,Zambrano,Duke,,2:45,N,32656,1.43,+,
49,Saturday May 24,boxscore,CHC,@,PIT,L-wo,4,5,14,29-20,1,Tied,Grabow,Wuertz,,4:21,N,29929,1.52,-,
50,Sunday May 25,boxscore,CHC,@,PIT,L-wo,5,6,11,29-21,1,Tied,Marte,Lieber,,3:26,D,29415,1.47,--,
51,Monday May 26,boxscore,CHC,,LAD,W,3,1,,30-21,1,up 0.5,Dempster,Billingsley,Wood,2:51,D,41583,1.43,+,
