Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Tuesday Apr 1,boxscore,COL,@,STL,W,2,1,,1-0,3,0.5,Buchholz,Franklin,Corpas,2:51,N,45996,.97,+,2008-03-31 (Rain)
2,Wednesday Apr 2,boxscore,COL,@,STL,L,3,8,,1-1,3,0.5,Wellemeyer,Cook,,3:12,N,39915,1.00,-,
3,Thursday Apr 3,boxscore,COL,@,STL,L,0,3,,1-2,3,1.5,Thompson,Jimenez,Isringhausen,2:33,D,33748,.95,--,
4,Friday Apr 4,boxscore,COL,,ARI,L,1,8,,1-3,4,2.0,Owings,Redman,,2:59,D,49233,1.02,---,
5,Saturday Apr 5,boxscore,COL,,ARI,L,2,7,,1-4,4,2.5,Webb,Francis,,3:03,N,43124,.98,----,
6,Sunday Apr 6,boxscore,COL,,ARI,L,2,5,10,1-5,4,3.0,Lyon,Bowie,Qualls,3:27,D,42865,.94,-----,
7,Monday Apr 7,boxscore,COL,,ATL,W,2,1,,2-5,4,3.0,Herges,Boyer,Corpas,2:05,N,24304,.72,+,
8,Tuesday Apr 8,boxscore,COL,,ATL,W,4,3,,3-5,4,3.0,Jimenez,Jurrjens,Corpas,2:24,N,24640,.82,++,
9,Wednesday Apr 9,boxscore,COL,,ATL,W,12,6,,4-5,3,3.0,Redman,James,,2:44,N,23210,.85,+++,
10,Friday Apr 11,boxscore,COL,@,ARI,L,2,8,,4-6,3,4.0,Webb,Francis,,2:35,N,31732,1.06,-,
11,Saturday Apr 12,boxscore,COL,@,ARI,L,3,10,,4-7,4,5.0,Haren,Morales,,2:47,D,29256,.99,--,
12,Sunday Apr 13,boxscore,COL,@,ARI,W,13,5,,5-7,3,4.0,Cook,Gonzalez,,3:30,D,31321,.93,+,
13,Tuesday Apr 15,boxscore,COL,@,SDP,L,0,6,,5-8,4,4.5,Wolf,Jimenez,,2:41,N,24439,.95,-,
14,Wednesday Apr 16,boxscore,COL,@,SDP,W,10,2,,6-8,4,4.5,Redman,Germano,,2:35,N,21730,.92,+,
15,Thursday Apr 17,boxscore,COL,@,SDP,W,2,1,22,7-8,3,4.0,Wells,Rusch,,6:16,N,25984,.98,++,
16,Friday Apr 18,boxscore,COL,@,HOU,W,11,5,,8-8,2,4.0,Morales,Sampson,,3:15,N,34272,.90,+++,
17,Saturday Apr 19,boxscore,COL,@,HOU,W,3,2,,9-8,2,4.0,Cook,Villarreal,Corpas,2:25,N,34540,.96,++++,
18,Sunday Apr 20,boxscore,COL,@,HOU,L,4,6,,9-9,2,4.0,Wright,Fuentes,Valverde,3:20,D,35286,1.04,-,
19,Monday Apr 21,boxscore,COL,,PHI,L,5,9,,9-10,2,5.0,Seanez,Buchholz,,3:09,N,24886,1.01,--,
20,Tuesday Apr 22,boxscore,COL,,PHI,L,6,8,,9-11,2,6.0,Madson,Corpas,Lidge,2:59,N,26665,.94,---,
21,Wednesday Apr 23,boxscore,COL,,CHC,L,6,7,10,9-12,2,6.0,Wood,Wells,Marmol,3:19,N,36864,.92,----,
22,Thursday Apr 24,boxscore,COL,,CHC,W,4,2,,10-12,2,6.0,Cook,Hart,Fuentes,2:18,D,32791,.86,+,
23,Friday Apr 25,boxscore,COL,@,LAD,L-wo,7,8,13,10-13,3,7.0,Park,Buchholz,,4:38,N,53205,.95,-,
24,Saturday Apr 26,boxscore,COL,@,LAD,L,3,11,,10-14,4,7.0,Penny,Redman,,2:45,N,50469,.90,--,
25,Sunday Apr 27,boxscore,COL,@,LAD,L-wo,2,3,10,10-15,4,8.0,Beimel,Corpas,,3:10,D,50670,.84,---,
26,Monday Apr 28,boxscore,COL,@,SFG,L,0,4,,10-16,4,9.0,Cain,Morales,,3:19,N,30153,.77,----,
27,Tuesday Apr 29,boxscore,COL,@,SFG,W,3,2,,11-16,4,8.0,Cook,Lincecum,Fuentes,2:51,N,32176,.71,+,
28,Wednesday Apr 30,boxscore,COL,@,SFG,L,2,3,,11-17,4,9.0,Valdez,Speier,Wilson,2:52,D,30509,.78,-,
29,Friday May 2,boxscore,COL,,LAD,L,6,11,,11-18,4,9.0,Penny,Francis,,3:33,N,30291,.70,--,
30,Saturday May 3,boxscore,COL,,LAD,L,7,12,,11-19,5,10.0,Kuo,De La Rosa,,3:27,N,38597,.67,---,
31,Sunday May 4,boxscore,COL,,LAD,W,7,2,,12-19,4,9.0,Cook,Lowe,Buchholz,2:40,D,43726,.56,+,
32,Monday May 5,boxscore,COL,,STL,L,5,6,,12-20,4,9.0,Flores,Fuentes,Isringhausen,3:16,N,28183,.60,-,
33,Tuesday May 6,boxscore,COL,,STL,L,5,6,,12-21,4,10.0,Looper,Redman,Franklin,2:57,N,25460,.55,--,
34,Wednesday May 7,boxscore,COL,,STL,W,4,3,,13-21,4,9.0,Speier,Isringhausen,Fuentes,2:59,N,25432,.43,+,
