Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Mar 31,boxscore,FLA,,NYM,L,2,7,,0-1,3,1.5,Santana,Hendrickson,,2:53,D,38308,1.05,-,
2,Tuesday Apr 1,boxscore,FLA,,NYM,W-wo,5,4,10,1-1,2,1.0,Miller,Wise,,3:31,N,15117,1.04,+,
3,Wednesday Apr 2,boxscore,FLA,,NYM,L,0,13,,1-2,3,2.0,Perez,Miller,,2:55,N,13720,1.09,-,
4,Friday Apr 4,boxscore,FLA,,PIT,W-wo,5,4,,2-2,3,0.5,Gregg,Osoria,,2:57,N,10809,.90,+,
5,Saturday Apr 5,boxscore,FLA,,PIT,W,7,3,,3-2,1,up 0.5,Hendrickson,Maholm,,2:52,N,15752,.96,++,
6,Sunday Apr 6,boxscore,FLA,,PIT,L,2,9,,3-3,1,Tied,Snell,van den Hurk,,3:10,D,10431,1.01,-,
7,Monday Apr 7,boxscore,FLA,@,WSN,W,10,7,,4-3,1,up 1.0,Pinto,Redding,Gregg,3:29,N,20487,1.10,+,
8,Wednesday Apr 9,boxscore,FLA,@,WSN,W,10,4,,5-3,1,up 1.5,Olsen,Bergmann,,2:28,N,23340,1.13,++,
9,Thursday Apr 10,boxscore,FLA,@,WSN,W,4,3,,6-3,1,up 1.5,Hendrickson,Perez,Gregg,2:51,N,24549,1.23,+++,
10,Friday Apr 11,boxscore,FLA,@,HOU,W,10,6,,7-3,1,up 1.5,Nolasco,Oswalt,,3:01,N,34191,1.14,++++,
11,Saturday Apr 12,boxscore,FLA,@,HOU,L,0,5,,7-4,1,up 1.5,Backe,Miller,,3:18,N,34336,1.12,-,
12,Sunday Apr 13,boxscore,FLA,@,HOU,L,1,5,,7-5,1,up 1.5,Rodriguez,Badenhop,,2:45,D,29766,1.10,--,
13,Tuesday Apr 15,boxscore,FLA,,ATL,W,4,0,,8-5,1,up 1.5,Olsen,Jurrjens,,2:36,N,10462,1.26,+,
14,Wednesday Apr 16,boxscore,FLA,,ATL,W,6,5,,9-5,1,up 1.5,Hendrickson,Hudson,Gregg,2:41,N,10712,1.26,++,
15,Thursday Apr 17,boxscore,FLA,,ATL,L,0,8,,9-6,1,up 0.5,Smoltz,Nolasco,,2:53,N,11237,1.34,-,
16,Friday Apr 18,boxscore,FLA,,WSN,L,4,6,,9-7,2,0.5,Redding,Miller,Rauch,2:53,N,13279,1.19,--,
17,Saturday Apr 19,boxscore,FLA,,WSN,W-wo,6,5,,10-7,2,0.5,Gregg,Rivera,,3:19,N,18944,1.16,+,
18,Sunday Apr 20,boxscore,FLA,,WSN,W,6,1,,11-7,1,up 0.5,Olsen,Ayala,,2:39,D,11635,1.20,++,
19,Monday Apr 21,boxscore,FLA,@,PIT,W,10,4,,12-7,1,up 1.5,Hendrickson,Morris,,2:37,N,8444,1.17,+++,
20,Tuesday Apr 22,boxscore,FLA,@,PIT,L,2,3,,12-8,1,up 1.5,Maholm,Nolasco,Capps,2:47,N,10185,1.20,-,
21,Wednesday Apr 23,boxscore,FLA,@,ATL,W,7,2,,13-8,1,up 1.5,Miller,Bennett,,3:05,N,19852,1.42,+,
22,Thursday Apr 24,boxscore,FLA,@,ATL,L,4,7,,13-9,1,up 1.5,James,Badenhop,Acosta,2:34,N,19903,1.36,-,
23,Friday Apr 25,boxscore,FLA,@,MIL,W,3,0,10,14-9,1,up 1.5,Gregg,Mota,,3:28,N,40088,1.21,+,
24,Saturday Apr 26,boxscore,FLA,@,MIL,L,3,4,,14-10,1,up 0.5,Torres,Pinto,Gagne,2:56,N,44169,1.20,-,
25,Sunday Apr 27,boxscore,FLA,@,MIL,W,3,2,10,15-10,1,up 1.5,Lindstrom,McClung,Gregg,4:11,D,41656,1.21,+,
26,Tuesday Apr 29,boxscore,FLA,,LAD,L,6,7,,15-11,1,up 0.5,Beimel,Gregg,Saito,2:48,N,11334,1.24,-,
27,Wednesday Apr 30,boxscore,FLA,,LAD,L,1,13,,15-12,1,up 0.5,Billingsley,Olsen,,3:12,N,10792,1.18,--,
28,Thursday May 1,boxscore,FLA,,LAD,L,3,5,,15-13,2,0.5,Beimel,Gregg,Saito,2:55,D,15556,1.16,---,
29,Friday May 2,boxscore,FLA,,SDP,W,6,4,,16-13,2,0.5,Hendrickson,Germano,Gregg,2:18,N,14562,1.08,+,
30,Saturday May 3,boxscore,FLA,,SDP,L,2,7,,16-14,2,0.5,Peavy,Nolasco,,2:57,N,37689,1.14,-,
31,Sunday May 4,boxscore,FLA,,SDP,W,10,3,,17-14,2,0.5,Miller,Maddux,,2:59,D,11422,1.12,+,
32,Tuesday May 6,boxscore,FLA,,MIL,W,3,0,,18-14,1,Tied,Olsen,Suppan,Gregg,2:30,N,10113,1.13,++,
33,Wednesday May 7,boxscore,FLA,,MIL,W,6,2,,19-14,1,Tied,Badenhop,Bush,,2:41,N,10405,1.21,+++,
34,Thursday May 8,boxscore,FLA,,MIL,W,7,2,,20-14,1,up 1.0,Kensing,Villanueva,,3:19,N,12321,1.23,++++,
35,Friday May 9,boxscore,FLA,@,WSN,W,7,3,,21-14,1,up 1.0,Nolasco,Redding,,3:06,N,23379,1.32,+++++,
