Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Mar 31,boxscore,LAD,,SFG,W,5,0,,1-0,1,Tied,Penny,Zito,,2:41,D,56000,1.07,+,
2,Tuesday Apr 1,boxscore,LAD,,SFG,W-wo,3,2,,2-0,1,Tied,Saito,Yabu,,3:15,N,44054,1.09,++,
3,Wednesday Apr 2,boxscore,LAD,,SFG,L,1,2,,2-1,1,Tied,Lincecum,Loaiza,Wilson,3:11,N,43217,1.10,-,
4,Friday Apr 4,boxscore,LAD,@,SDP,W,7,1,,3-1,1,up 0.5,Kuroda,Thatcher,,3:00,N,42474,1.16,+,
5,Saturday Apr 5,boxscore,LAD,@,SDP,L,1,4,,3-2,2,0.5,Peavy,Penny,,2:21,D,38819,1.21,-,
6,Sunday Apr 6,boxscore,LAD,@,SDP,W,3,2,,4-2,1,Tied,Broxton,Hoffman,Saito,2:50,D,44165,1.16,+,
7,Monday Apr 7,boxscore,LAD,@,ARI,L,3,9,,4-3,3,1.0,Haren,Loaiza,,2:40,N,49057,1.24,-,
8,Tuesday Apr 8,boxscore,LAD,@,ARI,L,5,10,,4-4,3,2.0,Davis,Billingsley,,3:36,N,28973,1.20,--,
9,Wednesday Apr 9,boxscore,LAD,@,ARI,L,3,4,,4-5,3,3.0,Owings,Kuroda,Lyon,3:04,D,23331,1.15,---,
10,Friday Apr 11,boxscore,LAD,,SDP,L,5,7,,4-6,3,4.0,Peavy,Penny,Hoffman,3:22,N,54052,1.02,----,
11,Saturday Apr 12,boxscore,LAD,,SDP,W,11,1,,5-6,3,4.0,Lowe,Young,,2:35,N,54955,.96,+,
12,Sunday Apr 13,boxscore,LAD,,SDP,L,0,1,,5-7,3,4.0,Maddux,Billingsley,Hoffman,2:39,D,47357,1.03,-,
13,Monday Apr 14,boxscore,LAD,,PIT,L,4,6,,5-8,5,4.0,Yates,Saito,Capps,2:57,N,37334,.85,--,
14,Tuesday Apr 15,boxscore,LAD,,PIT,W,11,2,,6-8,3,4.0,Loaiza,Morris,,2:39,N,37896,.80,+,
15,Wednesday Apr 16,boxscore,LAD,,PIT,W,8,1,,7-8,3,4.0,Penny,Maholm,,2:56,N,53629,.86,++,
16,Friday Apr 18,boxscore,LAD,@,ATL,L,1,6,,7-9,4,5.0,Ohman,Lowe,,3:03,N,38250,.89,-,
17,Saturday Apr 19,boxscore,LAD,@,ATL,L,1,4,,7-10,4,6.0,James,Billingsley,Acosta,2:40,D,40451,.83,--,
18,Sunday Apr 20,boxscore,LAD,@,ATL,L,1,6,,7-11,5,6.0,Jurrjens,Kuroda,,3:11,D,36772,.77,---,
19,Monday Apr 21,boxscore,LAD,@,CIN,W,9,3,,8-11,4,6.0,Penny,Belisle,Park,2:54,N,14446,.76,+,
20,Tuesday Apr 22,boxscore,LAD,@,CIN,L,1,8,,8-12,4,7.0,Volquez,Kuo,,3:02,N,14763,.82,-,
21,Wednesday Apr 23,boxscore,LAD,,ARI,W,8,3,,9-12,2,6.0,Lowe,Haren,Saito,3:31,N,42590,.91,+,
22,Thursday Apr 24,boxscore,LAD,,ARI,L,4,6,,9-13,4,7.0,Gonzalez,Billingsley,Lyon,3:11,N,38350,1.01,-,
23,Friday Apr 25,boxscore,LAD,,COL,W-wo,8,7,13,10-13,3,7.0,Park,Buchholz,,4:38,N,53205,.81,+,
24,Saturday Apr 26,boxscore,LAD,,COL,W,11,3,,11-13,2,6.0,Penny,Redman,,2:45,N,50469,.84,++,
25,Sunday Apr 27,boxscore,LAD,,COL,W-wo,3,2,10,12-13,2,6.0,Beimel,Corpas,,3:10,D,50670,.94,+++,
26,Tuesday Apr 29,boxscore,LAD,@,FLA,W,7,6,,13-13,2,5.5,Beimel,Gregg,Saito,2:48,N,11334,.91,++++,
27,Wednesday Apr 30,boxscore,LAD,@,FLA,W,13,1,,14-13,2,5.5,Billingsley,Olsen,,3:12,N,10792,1.00,+++++,
28,Thursday May 1,boxscore,LAD,@,FLA,W,5,3,,15-13,2,5.0,Beimel,Gregg,Saito,2:55,D,15556,1.01,++++++,
29,Friday May 2,boxscore,LAD,@,COL,W,11,6,,16-13,2,4.0,Penny,Francis,,3:33,N,30291,1.15,+++++++,
30,Saturday May 3,boxscore,LAD,@,COL,W,12,7,,17-13,2,4.0,Kuo,De La Rosa,,3:27,N,38597,1.25,++++++++,
31,Sunday May 4,boxscore,LAD,@,COL,L,2,7,,17-14,2,4.0,Cook,Lowe,Buchholz,2:40,D,43726,1.30,-,
32,Monday May 5,boxscore,LAD,,NYM,W,5,1,,18-14,2,3.0,Billingsley,Perez,,2:38,N,44181,1.21,+,
33,Tuesday May 6,boxscore,LAD,,NYM,W,5,4,,19-14,2,3.0,Kuo,Figueroa,Saito,3:21,N,43927,1.22,++,
34,Wednesday May 7,boxscore,LAD,,NYM,L,1,12,,19-15,2,3.0,Maine,Penny,,2:45,D,40696,1.23,-,
35,Friday May 9,boxscore,LAD,,HOU,L,1,7,,19-16,2,3.5,Moehler,Lowe,,3:05,N,52658,1.23,--,
36,Saturday May 10,boxscore,LAD,,HOU,L,0,5,,19-17,2,3.5,Sampson,Billingsley,,2:46,N,45212,1.21,---,
37,Sunday May 11,boxscore,LAD,,HOU,L,5,8,,19-18,2,3.5,Geary,Broxton,Valverde,3:31,D,40217,1.14,----,
