Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Mar 31,boxscore,CIN,,ARI,L,2,4,,0-1,4,1.0,Webb,Harang,Lyon,2:36,D,42498,.90,-,
2,Wednesday Apr 2,boxscore,CIN,,ARI,W-wo,6,5,,1-1,2,1.0,Affeldt,Lyon,,2:46,N,14016,.88,+,
3,Thursday Apr 3,boxscore,CIN,,ARI,W,3,2,,2-1,1,Tied,Cueto,Davis,Cordero,2:40,D,11987,.89,++,
4,Friday Apr 4,boxscore,CIN,,PHI,L,4,8,,2-2,3,1.0,Kendrick,Fogg,,3:06,N,17905,.94,-,
5,Saturday Apr 5,boxscore,CIN,,PHI,W-wo,4,3,,3-2,3,1.0,Cordero,Durbin,,2:27,D,23069,.89,+,
6,Sunday Apr 6,boxscore,CIN,,PHI,W,8,2,,4-2,3,1.0,Volquez,Myers,,2:46,D,26566,.95,++,
7,Monday Apr 7,boxscore,CIN,,PHI,L,3,5,,4-3,3,1.5,Hamels,Arroyo,Lidge,2:34,D,14647,.96,-,
8,Tuesday Apr 8,boxscore,CIN,@,MIL,L-wo,2,3,10,4-4,4,2.5,Torres,Weathers,,3:20,N,27717,1.04,--,
9,Wednesday Apr 9,boxscore,CIN,@,MIL,W,12,4,,5-4,4,2.0,Fogg,Bush,,3:16,N,31313,.99,+,
10,Thursday Apr 10,boxscore,CIN,@,MIL,W,4,1,,6-4,4,1.0,Harang,Villanueva,Cordero,2:16,D,25023,1.06,++,
11,Friday Apr 11,boxscore,CIN,@,PIT,L,0,1,,6-5,4,2.0,Grabow,Burton,Capps,2:24,N,13603,1.05,-,
12,Saturday Apr 12,boxscore,CIN,@,PIT,L,3,4,,6-6,4,3.0,Snell,Lincoln,Capps,3:04,N,18096,1.06,--,
13,Sunday Apr 13,boxscore,CIN,@,PIT,L,1,9,,6-7,5,3.0,Gorzelanny,Cueto,,2:32,D,11201,.96,---,
14,Tuesday Apr 15,boxscore,CIN,@,CHC,L,5,9,,6-8,5,4.0,Dempster,Harang,,2:52,N,39130,.96,----,
15,Wednesday Apr 16,boxscore,CIN,@,CHC,L,3,12,,6-9,5,5.0,Zambrano,Fogg,,2:52,N,40099,.89,-----,
16,Thursday Apr 17,boxscore,CIN,@,CHC,W,9,2,,7-9,5,4.0,Volquez,Lilly,,3:05,D,39534,.80,+,
17,Friday Apr 18,boxscore,CIN,,MIL,L,2,5,,7-10,5,5.0,Sheets,Arroyo,Gagne,2:57,N,32629,.89,-,
18,Saturday Apr 19,boxscore,CIN,,MIL,L,3,5,10,7-11,5,5.0,Mota,Weathers,Gagne,3:13,D,26410,.81,--,
19,Sunday Apr 20,boxscore,CIN,,MIL,W-wo,4,3,10,8-11,4,4.5,Burton,Gagne,,3:07,D,26902,.75,+,
20,Monday Apr 21,boxscore,CIN,,LAD,L,3,9,,8-12,4,5.5,Penny,Belisle,Park,2:54,N,14446,.72,-,
21,Tuesday Apr 22,boxscore,CIN,,LAD,W,8,1,,9-12,4,5.5,Volquez,Kuo,,3:02,N,14763,.65,+,
22,Wednesday Apr 23,boxscore,CIN,,HOU,L,3,9,,9-13,6,6.5,Sampson,Arroyo,,2:41,N,16017,.73,-,
23,Thursday Apr 24,boxscore,CIN,,HOU,L,3,5,,9-14,6,6.5,Cassel,Cueto,Valverde,2:31,D,17403,.68,--,
24,Friday Apr 25,boxscore,CIN,@,SFG,L,1,3,,9-15,6,6.5,Sanchez,Harang,Wilson,2:33,N,34657,.57,---,
