Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Mar 31,boxscore,NYM,@,FLA,W,7,2,,1-0,2,0.5,Santana,Hendrickson,,2:53,D,38308,1.05,+,
2,Tuesday Apr 1,boxscore,NYM,@,FLA,L-wo,4,5,10,1-1,2,1.0,Miller,Wise,,3:31,N,15117,1.16,-,
3,Wednesday Apr 2,boxscore,NYM,@,FLA,W,13,0,,2-1,2,1.0,Perez,Miller,,2:55,N,13720,1.10,+,
4,Saturday Apr 5,boxscore,NYM,@,ATL,L,5,11,,2-2,2,0.5,Hudson,Maine,,3:27,D,36130,1.11,-,
5,Sunday Apr 6,boxscore,NYM,@,ATL,L,1,3,,2-3,3,0.5,Smoltz,Santana,Soriano,2:35,D,39414,1.11,--,
6,Tuesday Apr 8,boxscore,NYM,,PHI,L,2,5,,2-4,3,1.5,Moyer,Schoeneweis,Gordon,3:18,D,56350,1.07,---,
7,Wednesday Apr 9,boxscore,NYM,,PHI,W,8,2,,3-4,2,1.5,Pelfrey,Kendrick,,3:03,N,47127,1.04,+,
8,Thursday Apr 10,boxscore,NYM,,PHI,W-wo,4,3,12,4-4,2,1.5,Sosa,Gordon,,3:58,N,49045,1.09,++,
9,Friday Apr 11,boxscore,NYM,,MIL,W,4,2,,5-4,2,1.5,Figueroa,Parra,Wagner,2:26,N,46214,1.03,+++,
10,Saturday Apr 12,boxscore,NYM,,MIL,L,3,5,,5-5,2,1.5,Sheets,Santana,Gagne,2:38,D,54701,1.03,-,
11,Sunday Apr 13,boxscore,NYM,,MIL,L,7,9,,5-6,2,1.5,Torres,Sosa,Gagne,3:42,D,52794,1.01,--,
12,Tuesday Apr 15,boxscore,NYM,,WSN,W,6,0,,6-6,2,1.5,Pelfrey,Perez,,3:01,N,46567,1.02,+,
13,Wednesday Apr 16,boxscore,NYM,,WSN,W,5,2,,7-6,2,1.5,Maine,Chico,Wagner,2:37,N,46106,1.06,++,
14,Thursday Apr 17,boxscore,NYM,,WSN,W-wo,3,2,14,8-6,2,0.5,Sosa,Hanrahan,,4:45,N,47785,1.10,+++,
15,Friday Apr 18,boxscore,NYM,@,PHI,W,6,4,,9-6,1,up 0.5,Santana,Hamels,Wagner,2:49,N,45156,1.26,++++,
16,Saturday Apr 19,boxscore,NYM,@,PHI,W,4,2,,10-6,1,up 0.5,Perez,Moyer,Wagner,3:21,D,45149,1.33,+++++,
17,Sunday Apr 20,boxscore,NYM,@,PHI,L,4,5,,10-7,2,0.5,Romero,Feliciano,Lidge,3:13,N,45173,1.31,-,
18,Monday Apr 21,boxscore,NYM,@,CHC,L,1,7,,10-8,2,1.5,Zambrano,Maine,,2:45,N,40582,1.15,--,
19,Tuesday Apr 22,boxscore,NYM,@,CHC,L,1,8,,10-9,2,1.5,Lilly,Figueroa,,3:15,D,40503,1.12,---,
20,Wednesday Apr 23,boxscore,NYM,@,WSN,W,7,2,,11-9,2,1.5,Santana,Redding,,3:03,N,32780,1.11,+,
21,Thursday Apr 24,boxscore,NYM,@,WSN,L,5,10,,11-10,2,1.5,O'Connor,Perez,,3:11,N,29750,1.14,-,
22,Friday Apr 25,boxscore,NYM,,ATL,L,3,6,,11-11,4,2.5,Jurrjens,Pelfrey,,3:06,N,52495,1.19,--,
23,Saturday Apr 26,boxscore,NYM,,ATL,W,4,3,,12-11,3,1.5,Maine,Hudson,Wagner,2:56,D,51339,1.11,+,
24,Sunday Apr 27,boxscore,NYM,,ATL,W,6,3,,13-11,2,1.5,Figueroa,Smoltz,Wagner,2:46,D,53487,1.18,++,
25,Tuesday Apr 29,boxscore,NYM,,PIT,W-wo,5,4,11,14-11,2,0.5,Sosa,Van Benschoten,,3:54,N,46982,1.08,+++,
26,Wednesday Apr 30,boxscore,NYM,,PIT,L,1,13,,14-12,2,0.5,Gorzelanny,Perez,,2:55,D,46788,1.11,-,
27,Friday May 2,boxscore,NYM,@,ARI,W,7,2,,15-12,2,0.5,Maine,Owings,,2:46,N,35682,1.09,+,
28,Saturday May 3,boxscore,NYM,@,ARI,L,4,10,,15-13,2,0.5,Webb,Pelfrey,,3:27,D,34744,1.17,-,
29,Sunday May 4,boxscore,NYM,@,ARI,W,5,2,,16-13,2,0.5,Sosa,Qualls,Wagner,3:15,D,37593,1.15,+,
30,Monday May 5,boxscore,NYM,@,LAD,L,1,5,,16-14,3,1.5,Billingsley,Perez,,2:38,N,44181,1.18,-,
31,Tuesday May 6,boxscore,NYM,@,LAD,L,4,5,,16-15,3,1.5,Kuo,Figueroa,Saito,3:21,N,43927,1.12,--,
32,Wednesday May 7,boxscore,NYM,@,LAD,W,12,1,,17-15,3,1.5,Maine,Penny,,2:45,D,40696,1.10,+,
33,Saturday May 10 (1),boxscore,NYM,,CIN,W,12,6,,18-15,3,3.0,Santana,Belisle,,3:12,D,55186,1.08,++,2008-05-09 (Rain)
34,Saturday May 10 (2),boxscore,NYM,,CIN,L,1,7,,18-16,3,3.0,Arroyo,Pelfrey,,2:43,N,47673,1.16,-,
35,Sunday May 11,boxscore,NYM,,CIN,W,8,3,,19-16,2,3.0,Perez,Cueto,,3:11,D,49264,1.05,+,
36,Monday May 12,boxscore,NYM,,WSN,L,4,10,,19-17,3,3.0,Perez,Figueroa,,3:15,N,45321,1.18,-,
37,Tuesday May 13,boxscore,NYM,,WSN,W,6,3,,20-17,3,2.0,Maine,Lannan,Wagner,2:48,N,46618,1.14,+,
