Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Mar 31,boxscore,PHI,,WSN,L,6,11,,0-1,3,1.5,Rivera,Gordon,,2:56,D,44553,1.03,-,
2,Wednesday Apr 2,boxscore,PHI,,WSN,L,0,1,,0-2,5,2.5,Redding,Hamels,Rauch,2:15,N,44986,1.05,--,
3,Thursday Apr 3,boxscore,PHI,,WSN,W-wo,8,7,10,1-2,3,1.5,Condrey,Colome,,3:47,D,25831,1.00,+,
4,Friday Apr 4,boxscore,PHI,@,CIN,W,8,4,,2-2,3,0.5,Kendrick,Fogg,,3:06,N,17905,.90,++,
5,Saturday Apr 5,boxscore,PHI,@,CIN,L-wo,3,4,,2-3,4,1.0,Cordero,Durbin,,2:27,D,23069,.94,-,
6,Sunday Apr 6,boxscore,PHI,@,CIN,L,2,8,,2-4,5,1.0,Volquez,Myers,,2:46,D,26566,.91,--,
7,Monday Apr 7,boxscore,PHI,@,CIN,W,5,3,,3-4,2,1.0,Hamels,Arroyo,Lidge,2:34,D,14647,.86,+,
8,Tuesday Apr 8,boxscore,PHI,@,NYM,W,5,2,,4-4,2,0.5,Moyer,Schoeneweis,Gordon,3:18,D,56350,1.07,++,
9,Wednesday Apr 9,boxscore,PHI,@,NYM,L,2,8,,4-5,2,1.5,Pelfrey,Kendrick,,3:03,N,47127,1.11,-,
10,Thursday Apr 10,boxscore,PHI,@,NYM,L-wo,3,4,12,4-6,3,2.5,Sosa,Gordon,,3:58,N,49045,1.11,--,
11,Friday Apr 11,boxscore,PHI,,CHC,W,5,3,,5-6,3,2.5,Myers,Zambrano,Lidge,2:24,N,37368,.92,+,
12,Saturday Apr 12,boxscore,PHI,,CHC,W,7,1,,6-6,2,1.5,Hamels,Lilly,,2:54,N,45072,.95,++,
13,Sunday Apr 13,boxscore,PHI,,CHC,L,5,6,10,6-7,2,1.5,Wood,Seanez,Howry,3:45,D,40095,1.00,-,
14,Tuesday Apr 15,boxscore,PHI,,HOU,W-wo,4,3,,7-7,2,1.5,Seanez,Valverde,,2:36,N,34609,.93,+,
15,Wednesday Apr 16,boxscore,PHI,,HOU,L,1,2,,7-8,3,2.5,Oswalt,Kendrick,Brocail,2:17,N,31644,1.00,-,
16,Thursday Apr 17,boxscore,PHI,,HOU,W,10,2,,8-8,3,1.5,Myers,Backe,,2:45,D,33526,.92,+,
17,Friday Apr 18,boxscore,PHI,,NYM,L,4,6,,8-9,3,2.0,Santana,Hamels,Wagner,2:49,N,45156,1.18,-,
18,Saturday Apr 19,boxscore,PHI,,NYM,L,2,4,,8-10,4,3.0,Perez,Moyer,Wagner,3:21,D,45149,1.10,--,
19,Sunday Apr 20,boxscore,PHI,,NYM,W,5,4,,9-10,4,2.5,Romero,Feliciano,Lidge,3:13,N,45173,1.02,+,
20,Monday Apr 21,boxscore,PHI,@,COL,W,9,5,,10-10,4,2.5,Seanez,Buchholz,,3:09,N,24886,.92,++,
21,Tuesday Apr 22,boxscore,PHI,@,COL,W,8,6,,11-10,2,1.5,Madson,Corpas,Lidge,2:59,N,26665,.95,+++,
22,Wednesday Apr 23,boxscore,PHI,@,MIL,L,4,5,,11-11,3,2.5,Stetter,Hamels,Turnbow,2:50,N,30548,1.05,-,
23,Thursday Apr 24,boxscore,PHI,@,MIL,W,3,1,,12-11,2,1.5,Gordon,Riske,Lidge,2:55,D,23905,.99,+,
24,Friday Apr 25,boxscore,PHI,@,PIT,W,6,5,,13-11,2,1.5,Gordon,Duke,Lidge,2:57,N,23930,1.02,++,
25,Saturday Apr 26,boxscore,PHI,@,PIT,W,8,4,,14-11,2,0.5,Kendrick,Morris,,2:48,N,24791,1.07,+++,
26,Sunday Apr 27,boxscore,PHI,@,PIT,L,1,5,,14-12,2,1.5,Maholm,Myers,,2:17,D,17588,1.15,-,
27,Tuesday Apr 29,boxscore,PHI,,SDP,W,7,4,,15-12,2,0.5,Hamels,Maddux,,2:39,N,34207,1.11,+,
28,Wednesday Apr 30,boxscore,PHI,,SDP,L,2,4,,15-13,2,0.5,Young,Moyer,Hoffman,3:09,N,36648,1.13,-,
29,Thursday May 1,boxscore,PHI,,SDP,W,3,2,,16-13,1,up 0.5,Gordon,Thatcher,Lidge,2:38,N,33001,1.10,+,
30,Friday May 2,boxscore,PHI,,SFG,W-wo,6,5,10,17-13,1,up 0.5,Romero,Wilson,,3:33,N,38270,1.12,++,
31,Saturday May 3,boxscore,PHI,,SFG,L,2,3,10,17-14,1,up 0.5,Taschner,Seanez,Wilson,3:02,N,43804,1.17,-,
32,Sunday May 4,boxscore,PHI,,SFG,W-wo,6,5,,18-14,1,up 0.5,Lidge,Yabu,,3:07,D,45110,1.15,+,
33,Monday May 5,boxscore,PHI,@,ARI,W,11,4,,19-14,1,up 1.0,Moyer,Scherzer,,3:09,N,21266,1.18,++,
34,Tuesday May 6,boxscore,PHI,@,ARI,L,4,6,,19-15,1,Tied,Johnson,Eaton,Lyon,2:32,N,26234,1.23,-,
