Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Mar 31,boxscore,PIT,@,ATL,W,12,11,12,1-0,1,Tied,Osoria,Boyer,,4:28,N,45269,.96,+,
2,Wednesday Apr 2,boxscore,PIT,@,ATL,L,2,10,,1-1,2,1.0,Jurrjens,Gorzelanny,,2:57,N,17893,1.00,-,
3,Thursday Apr 3,boxscore,PIT,@,ATL,W,4,3,10,2-1,1,Tied,Yates,Resop,Capps,3:21,N,19240,.93,+,
4,Friday Apr 4,boxscore,PIT,@,FLA,L-wo,4,5,,2-2,3,1.0,Gregg,Osoria,,2:57,N,10809,1.00,-,
5,Saturday Apr 5,boxscore,PIT,@,FLA,L,3,7,,2-3,4,2.0,Hendrickson,Maholm,,2:52,N,15752,.95,--,
6,Sunday Apr 6,boxscore,PIT,@,FLA,W,9,2,,3-3,4,2.0,Snell,van den Hurk,,3:10,D,10431,.89,+,
7,Monday Apr 7,boxscore,PIT,,CHC,L,8,10,12,3-4,5,2.5,Lieber,Meek,Marmol,4:47,D,37491,1.02,-,
8,Wednesday Apr 9,boxscore,PIT,,CHC,L,4,6,15,3-5,5,3.5,Hart,Dumatrait,Marshall,4:20,N,9735,.95,--,
9,Thursday Apr 10,boxscore,PIT,,CHC,L,3,7,,3-6,5,3.5,Lieber,Morris,,2:30,N,9798,.88,---,
10,Friday Apr 11,boxscore,PIT,,CIN,W,1,0,,4-6,5,3.5,Grabow,Burton,Capps,2:24,N,13603,.79,+,
11,Saturday Apr 12,boxscore,PIT,,CIN,W,4,3,,5-6,5,3.5,Snell,Lincoln,Capps,3:04,N,18096,.92,++,
12,Sunday Apr 13,boxscore,PIT,,CIN,W,9,1,,6-6,4,2.5,Gorzelanny,Cueto,,2:32,D,11201,.89,+++,
13,Monday Apr 14,boxscore,PIT,@,LAD,W,6,4,,7-6,4,2.0,Yates,Saito,Capps,2:57,N,37334,.91,++++,
14,Tuesday Apr 15,boxscore,PIT,@,LAD,L,2,11,,7-7,4,3.0,Loaiza,Morris,,2:39,N,37896,.96,-,
15,Wednesday Apr 16,boxscore,PIT,@,LAD,L,1,8,,7-8,4,4.0,Penny,Maholm,,2:56,N,53629,.94,--,
16,Friday Apr 18,boxscore,PIT,@,CHC,L,2,3,,7-9,4,4.5,Hill,Snell,Wood,2:29,D,39118,1.00,---,
17,Saturday Apr 19,boxscore,PIT,@,CHC,L,1,13,,7-10,4,4.5,Marquis,Gorzelanny,,3:02,D,40298,.88,----,
18,Sunday Apr 20,boxscore,PIT,@,CHC,L,6,13,,7-11,5,5.0,Dempster,Duke,,3:13,D,41405,.85,-----,
19,Monday Apr 21,boxscore,PIT,,FLA,L,4,10,,7-12,6,6.0,Hendrickson,Morris,,2:37,N,8444,.71,------,
20,Tuesday Apr 22,boxscore,PIT,,FLA,W,3,2,,8-12,6,6.0,Maholm,Nolasco,Capps,2:47,N,10185,.65,+,
21,Wednesday Apr 23,boxscore,PIT,,STL,W,7,4,,9-12,5,6.0,Marte,Reyes,Capps,2:43,N,10487,.74,++,
