Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Mar 31,boxscore,SDP,,HOU,W,4,0,,1-0,1,Tied,Peavy,Oswalt,,2:53,N,44965,.94,+,
2,Tuesday Apr 1,boxscore,SDP,,HOU,W,2,1,,2-0,1,Tied,Young,Backe,Hoffman,2:49,N,20825,.99,++,
3,Wednesday Apr 2,boxscore,SDP,,HOU,L,6,9,,2-1,1,Tied,Valverde,Hoffman,,2:53,N,18714,1.04,-,
4,Thursday Apr 3,boxscore,SDP,,HOU,W,3,2,,3-1,1,up 0.5,Gonzalez,Villarreal,Hoffman,2:29,D,24432,.99,+,
5,Friday Apr 4,boxscore,SDP,,LAD,L,1,7,,3-2,2,0.5,Kuroda,Thatcher,,3:00,N,42474,1.18,-,
6,Saturday Apr 5,boxscore,SDP,,LAD,W,4,1,,4-2,1,up 0.5,Peavy,Penny,,2:21,D,38819,1.16,+,
7,Sunday Apr 6,boxscore,SDP,,LAD,L,2,3,,4-3,3,0.5,Broxton,Hoffman,Saito,2:50,D,44165,1.17,-,
8,Monday Apr 7,boxscore,SDP,@,SFG,W,8,4,,5-3,2,0.5,Maddux,Cain,,2:55,D,42861,1.08,+,
9,Tuesday Apr 8,boxscore,SDP,@,SFG,L-wo,2,3,11,5-4,2,1.5,Hennessey,Meredith,,3:24,N,35795,1.10,-,
10,Wednesday Apr 9,boxscore,SDP,@,SFG,L-wo,0,1,,5-5,2,2.5,Walker,Bell,,2:35,N,30310,1.09,--,
11,Friday Apr 11,boxscore,SDP,@,LAD,W,7,5,,6-5,2,2.5,Peavy,Penny,Hoffman,3:22,N,54052,1.05,+,
12,Saturday Apr 12,boxscore,SDP,@,LAD,L,1,11,,6-6,2,3.5,Lowe,Young,,2:35,N,54955,1.11,-,
13,Sunday Apr 13,boxscore,SDP,@,LAD,W,1,0,,7-6,2,2.5,Maddux,Billingsley,Hoffman,2:39,D,47357,1.09,+,
14,Tuesday Apr 15,boxscore,SDP,,COL,W,6,0,,8-6,2,2.0,Wolf,Jimenez,,2:41,N,24439,1.11,++,
15,Wednesday Apr 16,boxscore,SDP,,COL,L,2,10,,8-7,2,3.0,Redman,Germano,,2:35,N,21730,1.18,-,
16,Thursday Apr 17,boxscore,SDP,,COL,L,1,2,22,8-8,2,3.5,Wells,Rusch,,6:16,N,25984,1.10,--,
17,Friday Apr 18,boxscore,SDP,@,ARI,L,0,9,,8-9,3,4.5,Haren,Maddux,,2:17,N,26783,1.16,---,
18,Saturday Apr 19,boxscore,SDP,@,ARI,L,3,10,,8-10,3,5.5,Cruz,Thatcher,,2:58,N,39726,1.08,----,
19,Sunday Apr 20,boxscore,SDP,@,ARI,W,9,4,,9-10,3,4.5,Wolf,Johnson,,2:42,D,28090,1.00,+,
20,Monday Apr 21,boxscore,SDP,@,HOU,L,3,10,,9-11,3,5.5,Oswalt,Germano,,2:27,N,28600,.90,-,
21,Tuesday Apr 22,boxscore,SDP,@,HOU,L,7,11,,9-12,3,6.5,Valverde,Bell,,2:53,N,33434,.86,--,
22,Wednesday Apr 23,boxscore,SDP,,SFG,L,2,3,13,9-13,4,6.5,Yabu,Rusch,Wilson,3:51,N,25506,.86,---,
23,Thursday Apr 24,boxscore,SDP,,SFG,L,0,1,,9-14,5,7.5,Lincecum,Young,Wilson,2:50,N,26789,.81,----,
24,Friday Apr 25,boxscore,SDP,,ARI,L,1,5,,9-15,5,8.5,Johnson,Wolf,,2:32,N,31340,.79,-----,
