Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Mar 31,boxscore,SFG,@,LAD,L,0,5,,0-1,5,1.0,Penny,Zito,,2:41,D,56000,1.06,-,
2,Tuesday Apr 1,boxscore,SFG,@,LAD,L-wo,2,3,,0-2,5,2.0,Saito,Yabu,,3:15,N,44054,1.00,--,
3,Wednesday Apr 2,boxscore,SFG,@,LAD,W,2,1,,1-2,5,1.0,Lincecum,Loaiza,Wilson,3:11,N,43217,.92,+,
4,Friday Apr 4,boxscore,SFG,@,MIL,L,4,13,,1-3,4,2.0,Villanueva,Sanchez,Torres,3:02,D,45212,.95,-,
5,Saturday Apr 5,boxscore,SFG,@,MIL,L,4,5,,1-4,4,2.5,Parra,Correia,Gagne,3:06,D,30574,.88,--,
6,Sunday Apr 6,boxscore,SFG,@,MIL,L,0,7,,1-5,4,3.0,Sheets,Zito,,2:31,D,44014,.85,---,
7,Monday Apr 7,boxscore,SFG,,SDP,L,4,8,,1-6,5,4.0,Maddux,Cain,,2:55,D,42861,.87,----,
8,Tuesday Apr 8,boxscore,SFG,,SDP,W-wo,3,2,11,2-6,5,4.0,Hennessey,Meredith,,3:24,N,35795,.79,+,
9,Wednesday Apr 9,boxscore,SFG,,SDP,W-wo,1,0,,3-6,5,4.0,Walker,Bell,,2:35,N,30310,.84,++,
10,Thursday Apr 10,boxscore,SFG,,STL,W,5,1,,4-6,5,3.5,Correia,Wainwright,Wilson,2:36,N,30333,.81,+++,
11,Friday Apr 11,boxscore,SFG,,STL,L,2,8,,4-7,5,4.5,Lohse,Zito,,2:54,N,33954,.87,-,
12,Saturday Apr 12,boxscore,SFG,,STL,L,7,8,10,4-8,5,5.5,Isringhausen,Threets,Reyes,3:20,D,35717,.82,--,
13,Sunday Apr 13,boxscore,SFG,,STL,W,7,4,,5-8,5,4.5,Lincecum,Pineiro,Wilson,3:07,D,37195,.77,+,
14,Monday Apr 14,boxscore,SFG,,ARI,W,5,4,,6-8,3,3.5,Yabu,Qualls,Wilson,3:22,N,30371,.90,++,
15,Tuesday Apr 15,boxscore,SFG,,ARI,L,2,8,,6-9,4,4.5,Owings,Correia,,2:59,D,30068,.98,-,
16,Wednesday Apr 16,boxscore,SFG,,ARI,L,1,4,,6-10,5,5.5,Webb,Zito,Lyon,2:31,D,30510,.92,--,
17,Friday Apr 18,boxscore,SFG,@,STL,L,1,11,,6-11,5,6.5,Wellemeyer,Cain,,2:50,N,40684,.75,---,
18,Saturday Apr 19,boxscore,SFG,@,STL,W,3,0,,7-11,5,6.5,Lincecum,Pineiro,Wilson,2:31,D,41707,.66,+,
19,Sunday Apr 20,boxscore,SFG,@,STL,W,8,2,,8-11,4,5.5,Sanchez,Looper,,3:08,D,41127,.71,++,
20,Monday Apr 21,boxscore,SFG,@,ARI,L,2,4,,8-12,5,6.5,Owings,Correia,Lyon,2:38,N,22097,.95,-,
21,Tuesday Apr 22,boxscore,SFG,@,ARI,L,4,5,,8-13,5,7.5,Webb,Zito,Lyon,2:52,N,25074,.87,--,
22,Wednesday Apr 23,boxscore,SFG,@,SDP,W,3,2,13,9-13,4,6.5,Yabu,Rusch,Wilson,3:51,N,25506,.75,+,
23,Thursday Apr 24,boxscore,SFG,@,SDP,W,1,0,,10-13,3,6.5,Lincecum,Young,Wilson,2:50,N,26789,.83,++,
24,Friday Apr 25,boxscore,SFG,,CIN,W,3,1,,11-13,2,6.5,Sanchez,Harang,Wilson,2:33,N,34657,.84,+++,
25,Saturday Apr 26,boxscore,SFG,,CIN,L,9,10,,11-14,3,6.5,Belisle,Hennessey,Cordero,3:29,N,34215,.86,-,
26,Sunday Apr 27,boxscore,SFG,,CIN,L,1,10,,11-15,3,7.5,Volquez,Zito,,2:43,D,39050,.79,--,
27,Monday Apr 28,boxscore,SFG,,COL,W,4,0,,12-15,3,7.5,Cain,Morales,,3:19,N,30153,.78,+,
28,Tuesday Apr 29,boxscore,SFG,,COL,L,2,3,,12-16,3,7.5,Cook,Lincecum,Fuentes,2:51,N,32176,.86,-,
29,Wednesday Apr 30,boxscore,SFG,,COL,W,3,2,,13-16,3,7.5,Valdez,Speier,Wilson,2:52,D,30509,.78,+,
30,Friday May 2,boxscore,SFG,@,PHI,L-wo,5,6,10,13-17,3,7.5,Romero,Wilson,,3:33,N,38270,.79,-,
31,Saturday May 3,boxscore,SFG,@,PHI,W,3,2,10,14-17,3,7.5,Taschner,Seanez,Wilson,3:02,N,43804,.73,+,
32,Sunday May 4,boxscore,SFG,@,PHI,L-wo,5,6,,14-18,3,7.5,Lidge,Yabu,,3:07,D,45110,.79,-,
33,Tuesday May 6,boxscore,SFG,@,PIT,L,6,12,,14-19,3,8.0,Duke,Sanchez,,2:55,N,12030,.73,--,
34,Wednesday May 7,boxscore,SFG,@,PIT,L,1,3,,14-20,3,8.0,Dumatrait,Zito,Capps,2:34,N,9788,.66,---,
35,Thursday May 8,boxscore,SFG,@,PIT,L,4,5,,14-21,3,9.0,Osoria,Cain,Capps,3:11,D,16816,.63,----,
36,Friday May 9,boxscore,SFG,,PHI,L,4,7,,14-22,4,9.0,Hamels,Walker,Lidge,3:06,N,33796,.57,-----,
37,Saturday May 10,boxscore,SFG,,PHI,W,8,2,,15-22,3,8.0,Lincecum,Moyer,,2:27,D,34064,.55,+,
38,Sunday May 11,boxscore,SFG,,PHI,W,4,3,,16-22,3,7.0,Taschner,Romero,Wilson,2:51,D,35999,.59,++,
39,Monday May 12,boxscore,SFG,,HOU,L,3,7,,16-23,3,7.5,Oswalt,Chulk,Valverde,2:49,N,30165,.68,-,
40,Tuesday May 13,boxscore,SFG,,HOU,W,4,2,,17-23,3,7.5,Cain,Backe,Wilson,2:30,N,30858,.61,+,
41,Wednesday May 14,boxscore,SFG,,HOU,L,3,6,,17-24,3,8.5,Villarreal,Taschner,Valverde,3:05,N,33070,.67,-,
42,Thursday May 15,boxscore,SFG,,HOU,L,7,8,,17-25,3,9.5,Byrdak,Chulk,Valverde,3:24,D,33771,.58,--,
43,Friday May 16,boxscore,SFG,,CHW,L,0,2,,17-26,3,10.5,Floyd,Sanchez,Jenks,2:50,N,35482,.49,---,
44,Saturday May 17,boxscore,SFG,,CHW,L,1,3,,17-27,3,10.5,Buehrle,Zito,Jenks,2:52,N,37006,.43,----,
45,Sunday May 18,boxscore,SFG,,CHW,L,8,13,,17-28,4,11.5,Thornton,Walker,Masset,3:01,D,34331,.39,-----,
46,Monday May 19,boxscore,SFG,@,COL,L,3,4,,17-29,4,12.0,Grilli,Chulk,Fuentes,3:07,N,28362,.35,------,
47,Tuesday May 20,boxscore,SFG,@,COL,W,6,5,,18-29,4,11.0,Lincecum,Cook,Wilson,2:56,N,28361,.29,+,
48,Wednesday May 21,boxscore,SFG,@,COL,W,3,2,10,19-29,3,10.0,Walker,Herges,Wilson,3:10,D,27081,.31,++,
49,Friday May 23,boxscore,SFG,@,FLA,W,8,2,,20-29,3,9.5,Zito,Olsen,,2:43,N,15003,.38,+++,
50,Sunday May 25 (1),boxscore,SFG,@,FLA,L,6,8,,20-30,4,10.5,Hendrickson,Misch,Gregg,2:58,D,,.46,-,2008-05-24 (Rain)
51,Sunday May 25 (2),boxscore,SFG,@,FLA,L-wo,4,5,,20-31,4,10.5,Gregg,Walker,,3:15,N,14674,.42,--,
52,Tuesday May 27,boxscore,SFG,@,ARI,W,6,3,,21-31,3,9.0,Lincecum,Haren,Wilson,2:48,N,23604,.50,+,
53,Wednesday May 28,boxscore,SFG,@,ARI,W,11,3,,22-31,3,8.0,Sanchez,Davis,,3:20,N,24336,.62,++,
54,Thursday May 29,boxscore,SFG,@,ARI,W,4,3,,23-31,3,7.0,Walker,Qualls,Wilson,2:46,N,21037,.77,+++,
55,Friday May 30,boxscore,SFG,,SDP,L,3,7,13,23-32,3,7.0,Baek,Sadler,,3:44,N,37178,.65,-,
56,Saturday May 31,boxscore,SFG,,SDP,L,1,5,,23-33,3,8.0,Banks,Misch,,2:34,D,34921,.62,--,
57,Sunday Jun 1,boxscore,SFG,,SDP,W-wo,4,3,10,24-33,3,8.0,Hinshaw,Hoffman,,2:55,D,33867,.54,+,
58,Monday Jun 2,boxscore,SFG,,NYM,W,10,2,,25-33,3,7.0,Sanchez,Perez,,2:44,N,36126,.55,++,
59,Tuesday Jun 3,boxscore,SFG,,NYM,L,6,9,,25-34,3,7.0,Martinez,Zito,Wagner,3:08,N,35233,.60,-,
60,Wednesday Jun 4,boxscore,SFG,,NYM,L,3,5,,25-35,3,7.0,Maine,Cain,Wagner,2:43,D,35646,.59,--,
61,Friday Jun 6,boxscore,SFG,@,WSN,W,10,1,,26-35,3,7.0,Lincecum,Bergmann,,2:43,N,25987,.57,+,
62,Saturday Jun 7,boxscore,SFG,@,WSN,W,6,0,,27-35,3,7.0,Sanchez,Hill,,2:19,N,30652,.57,++,
63,Sunday Jun 8,boxscore,SFG,@,WSN,W,6,3,,28-35,3,6.0,Zito,Mock,Wilson,2:57,D,30224,.59,+++,
