Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Tuesday Apr 1,boxscore,STL,,COL,L,1,2,,0-1,3,1.0,Buchholz,Franklin,Corpas,2:51,N,45996,.96,-,2008-03-31 (Rain)
2,Wednesday Apr 2,boxscore,STL,,COL,W,8,3,,1-1,2,1.0,Wellemeyer,Cook,,3:12,N,39915,.88,+,
3,Thursday Apr 3,boxscore,STL,,COL,W,3,0,,2-1,1,Tied,Thompson,Jimenez,Isringhausen,2:33,D,33748,.94,++,
4,Friday Apr 4,boxscore,STL,,WSN,W,5,4,,3-1,1,Tied,Looper,Perez,Isringhausen,3:13,N,37191,.98,+++,
5,Saturday Apr 5,boxscore,STL,,WSN,W,5,4,,4-1,1,Tied,Wainwright,Chico,Flores,2:49,D,41463,.98,++++,
6,Sunday Apr 6,boxscore,STL,,WSN,W,3,0,,5-1,1,Tied,Lohse,Lannan,Isringhausen,2:19,D,41912,1.03,+++++,
7,Monday Apr 7,boxscore,STL,@,HOU,L-wo,3,5,,5-2,2,0.5,Valverde,McClellan,,2:13,N,43483,1.15,-,
8,Tuesday Apr 8,boxscore,STL,@,HOU,W,5,3,,6-2,2,0.5,Reyes,Geary,Isringhausen,2:40,N,30184,1.13,+,
9,Wednesday Apr 9,boxscore,STL,@,HOU,W,6,4,,7-2,1,up 0.5,Looper,Sampson,Isringhausen,3:07,N,29187,1.17,++,
10,Thursday Apr 10,boxscore,STL,@,SFG,L,1,5,,7-3,1,up 0.5,Correia,Wainwright,Wilson,2:36,N,30333,1.13,-,
11,Friday Apr 11,boxscore,STL,@,SFG,W,8,2,,8-3,1,up 1.5,Lohse,Zito,,2:54,N,33954,1.11,+,
12,Saturday Apr 12,boxscore,STL,@,SFG,W,8,7,10,9-3,1,up 1.5,Isringhausen,Threets,Reyes,3:20,D,35717,1.15,++,
13,Sunday Apr 13,boxscore,STL,@,SFG,L,4,7,,9-4,1,up 0.5,Lincecum,Pineiro,Wilson,3:07,D,37195,1.16,-,
14,Tuesday Apr 15,boxscore,STL,,MIL,W,6,1,,10-4,1,up 1.5,Looper,Bush,,2:48,N,39438,1.31,+,
15,Wednesday Apr 16,boxscore,STL,,MIL,W,5,4,,11-4,1,up 1.5,Wainwright,Villanueva,Isringhausen,2:49,N,40712,1.38,++,
16,Thursday Apr 17,boxscore,STL,,MIL,L,3,5,10,11-5,1,up 1.5,Shouse,Thompson,Gagne,3:39,D,36850,1.34,-,
17,Friday Apr 18,boxscore,STL,,SFG,W,11,1,,12-5,1,up 1.5,Wellemeyer,Cain,,2:50,N,40684,1.17,+,
18,Saturday Apr 19,boxscore,STL,,SFG,L,0,3,,12-6,1,up 0.5,Lincecum,Pineiro,Wilson,2:31,D,41707,1.16,-,
19,Sunday Apr 20,boxscore,STL,,SFG,L,2,8,,12-7,2,0.5,Sanchez,Looper,,3:08,D,41127,1.18,--,
20,Monday Apr 21,boxscore,STL,@,MIL,W,4,3,,13-7,2,0.5,Franklin,Turnbow,Isringhausen,2:46,N,31240,1.32,+,
21,Tuesday Apr 22,boxscore,STL,@,MIL,L-wo,8,9,12,13-8,2,1.5,McClung,Isringhausen,,4:28,D,23748,1.33,-,
22,Wednesday Apr 23,boxscore,STL,@,PIT,L,4,7,,13-9,3,2.5,Marte,Reyes,Capps,2:43,N,10487,1.21,--,
23,Thursday Apr 24,boxscore,STL,@,PIT,W,6,2,,14-9,2,1.5,Pineiro,Gorzelanny,Isringhausen,2:44,N,9544,1.18,+,
24,Friday Apr 25,boxscore,STL,,HOU,L,2,3,,14-10,2,1.5,Wright,Isringhausen,Valverde,2:47,N,41193,1.28,-,
25,Saturday Apr 26,boxscore,STL,,HOU,W-wo,4,3,,15-10,2,1.5,Wainwright,Borkowski,,2:42,D,43040,1.29,+,
26,Sunday Apr 27,boxscore,STL,,HOU,W,5,1,,16-10,2,0.5,Lohse,Backe,McClellan,2:27,D,44222,1.30,++,
27,Monday Apr 28,boxscore,STL,,CIN,L,3,4,,16-11,2,1.0,Arroyo,Wellemeyer,Cordero,2:45,N,37229,1.28,-,
28,Tuesday Apr 29,boxscore,STL,,CIN,W,7,2,,17-11,1,Tied,Pineiro,Cueto,,2:39,N,35356,1.26,+,
29,Wednesday Apr 30,boxscore,STL,,CIN,W,5,2,,18-11,1,Tied,Looper,Harang,Isringhausen,2:53,D,40629,1.29,++,
30,Friday May 2,boxscore,STL,,CHC,W-wo,5,3,11,19-11,1,up 1.5,Villone,Fox,,3:41,N,45077,1.48,+++,
31,Saturday May 3,boxscore,STL,,CHC,L,3,9,,19-12,1,up 0.5,Lilly,Lohse,,2:53,D,46792,1.53,-,
32,Sunday May 4,boxscore,STL,,CHC,W,5,3,,20-12,1,up 1.5,Wellemeyer,Marquis,Isringhausen,2:52,N,44969,1.49,+,
33,Monday May 5,boxscore,STL,@,COL,W,6,5,,21-12,1,up 2.5,Flores,Fuentes,Isringhausen,3:16,N,28183,1.32,++,
34,Tuesday May 6,boxscore,STL,@,COL,W,6,5,,22-12,1,up 2.5,Looper,Redman,Franklin,2:57,N,25460,1.33,+++,
35,Wednesday May 7,boxscore,STL,@,COL,L,3,4,,22-13,1,up 2.5,Speier,Isringhausen,Fuentes,2:59,N,25432,1.32,-,
36,Thursday May 8,boxscore,STL,@,COL,L,3,9,,22-14,1,up 2.0,De La Rosa,Lohse,,2:51,D,25376,1.32,--,
37,Friday May 9,boxscore,STL,@,MIL,L-wo,3,4,,22-15,1,up 1.0,Shouse,Isringhausen,,2:47,N,42705,1.45,---,
38,Saturday May 10,boxscore,STL,@,MIL,W,5,3,,23-15,1,up 1.0,Springer,Gagne,Franklin,3:26,D,43382,1.39,+,
39,Sunday May 11,boxscore,STL,@,MIL,L,3,5,,23-16,1,Tied,Suppan,Looper,Shouse,2:49,D,41197,1.48,-,
40,Monday May 12,boxscore,STL,@,MIL,L,3,8,,23-17,2,1.0,Bush,Wainwright,Mota,2:38,N,25757,1.41,--,
41,Tuesday May 13,boxscore,STL,,PIT,L,4,8,10,23-18,2,1.0,Salas,Villone,,3:17,N,38800,1.30,---,
42,Wednesday May 14,boxscore,STL,,PIT,W,5,1,,24-18,2,1.0,Wellemeyer,Maholm,,2:48,N,38720,1.31,+,
43,Thursday May 15,boxscore,STL,,PIT,L,5,11,,24-19,3,2.0,Grabow,Isringhausen,,3:32,D,41244,1.37,-,
44,Friday May 16,boxscore,STL,,TBR,L,1,3,,24-20,3,3.0,Sonnanstine,Looper,Percival,2:32,N,43136,1.17,--,
45,Saturday May 17,boxscore,STL,,TBR,W-wo,9,8,10,25-20,2,2.0,Franklin,Wheeler,,3:43,D,43907,1.11,+,
46,Sunday May 18,boxscore,STL,,TBR,W-wo,5,4,,26-20,2,2.0,Perez,Glover,,2:59,D,46392,1.18,++,
47,Monday May 19,boxscore,STL,@,SDP,W,8,2,,27-20,2,2.0,Wellemeyer,Ledezma,,2:43,N,22638,1.28,+++,
48,Tuesday May 20,boxscore,STL,@,SDP,L,2,3,,27-21,2,2.0,Corey,Pineiro,Hoffman,2:24,N,27181,1.32,-,
49,Wednesday May 21,boxscore,STL,@,SDP,W,11,3,,28-21,2,1.0,Looper,Young,,3:13,N,21011,1.27,+,
50,Friday May 23,boxscore,STL,@,LAD,W,2,1,,29-21,2,1.0,Wainwright,Lowe,Franklin,2:49,N,52281,1.37,++,
51,Saturday May 24,boxscore,STL,@,LAD,W,4,0,,30-21,1,Tied,Lohse,Penny,,2:32,N,44785,1.42,+++,
52,Sunday May 25,boxscore,STL,@,LAD,L-wo,3,4,10,30-22,1,Tied,Saito,Parisi,,3:18,D,46566,1.42,-,
53,Tuesday May 27,boxscore,STL,,HOU,L,2,8,,30-23,2,1.5,Chacon,Looper,,2:36,N,41104,1.62,--,
54,Wednesday May 28,boxscore,STL,,HOU,W,6,1,,31-23,2,1.5,Wainwright,Rodriguez,,2:23,N,41115,1.55,+,
55,Thursday May 29,boxscore,STL,,HOU,W,3,2,,32-23,2,1.5,Lohse,Oswalt,Franklin,2:05,N,41786,1.60,++,
56,Friday May 30,boxscore,STL,,PIT,W,5,4,,33-23,2,1.5,Wellemeyer,Duke,Franklin,2:38,N,42791,1.49,+++,
57,Saturday May 31,boxscore,STL,,PIT,L,4,14,,33-24,2,2.5,Maholm,Parisi,,3:02,N,44302,1.54,-,
58,Sunday Jun 1,boxscore,STL,,PIT,W,7,4,,34-24,2,2.5,Looper,Snell,Franklin,2:55,D,43462,1.48,+,
59,Monday Jun 2,boxscore,STL,,PIT,L,4,5,,34-25,2,3.5,Osoria,Wainwright,Capps,2:31,N,42129,1.51,-,
60,Tuesday Jun 3,boxscore,STL,@,WSN,W,6,1,,35-25,2,3.5,Lohse,Perez,,2:27,N,26875,1.38,+,
61,Thursday Jun 5 (1),boxscore,STL,@,WSN,W,4,1,,36-25,2,3.5,Wellemeyer,Lannan,Franklin,2:43,D,27264,1.41,++,2008-06-04 (Rain)
62,Thursday Jun 5 (2),boxscore,STL,@,WSN,L-wo,9,10,10,36-26,2,3.5,Sanches,Franklin,,3:08,N,32357,1.42,-,
63,Friday Jun 6,boxscore,STL,@,HOU,L,1,6,,36-27,2,3.5,Moehler,Looper,,2:32,N,38596,1.64,--,
64,Saturday Jun 7,boxscore,STL,@,HOU,W,8,4,,37-27,2,2.5,Wainwright,Chacon,,3:09,N,39811,1.64,+,
65,Sunday Jun 8,boxscore,STL,@,HOU,W,5,4,,38-27,2,2.5,Lohse,Rodriguez,Franklin,2:51,D,39923,1.65,++,
66,Tuesday Jun 10,boxscore,STL,@,CIN,W,7,2,,39-27,2,2.5,Boggs,Bailey,,2:30,N,34234,1.65,+++,
