Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Sunday Mar 30,boxscore,WSN,,ATL,W-wo,3,2,,1-0,1,up 0.5,Rauch,Moylan,,2:22,N,39389,1.06,+,
2,Monday Mar 31,boxscore,WSN,@,PHI,W,11,6,,2-0,1,up 0.5,Rivera,Gordon,,2:56,D,44553,1.10,++,
3,Wednesday Apr 2,boxscore,WSN,@,PHI,W,1,0,,3-0,1,up 1.0,Redding,Hamels,Rauch,2:15,N,44986,1.17,+++,
4,Thursday Apr 3,boxscore,WSN,@,PHI,L-wo,7,8,10,3-1,1,up 0.5,Condrey,Colome,,3:47,D,25831,1.24,-,
5,Friday Apr 4,boxscore,WSN,@,STL,L,4,5,,3-2,1,Tied,Looper,Perez,Isringhausen,3:13,N,37191,1.08,--,
6,Saturday Apr 5,boxscore,WSN,@,STL,L,4,5,,3-3,2,0.5,Wainwright,Chico,Flores,2:49,D,41463,1.05,---,
7,Sunday Apr 6,boxscore,WSN,@,STL,L,0,3,,3-4,3,0.5,Lohse,Lannan,Isringhausen,2:19,D,41912,.99,----,
8,Monday Apr 7,boxscore,WSN,,FLA,L,7,10,,3-5,5,1.5,Pinto,Redding,Gregg,3:29,N,20487,1.08,-----,
9,Wednesday Apr 9,boxscore,WSN,,FLA,L,4,10,,3-6,4,2.5,Olsen,Bergmann,,2:28,N,23340,1.03,------,
10,Thursday Apr 10,boxscore,WSN,,FLA,L,3,4,,3-7,5,3.5,Hendrickson,Perez,Gregg,2:51,N,24549,.98,-------,
11,Friday Apr 11,boxscore,WSN,,ATL,L,0,3,,3-8,5,4.5,Hudson,Chico,Moylan,2:15,N,28051,.83,--------,
12,Saturday Apr 12,boxscore,WSN,,ATL,L,2,10,,3-9,5,4.5,Smoltz,Lannan,,2:44,D,32532,.76,---------,
13,Sunday Apr 13,boxscore,WSN,,ATL,W,5,4,,4-9,5,3.5,Redding,Glavine,Rauch,3:06,D,29151,.71,+,
14,Tuesday Apr 15,boxscore,WSN,@,NYM,L,0,6,,4-10,5,4.5,Pelfrey,Perez,,3:01,N,46567,.82,-,
15,Wednesday Apr 16,boxscore,WSN,@,NYM,L,2,5,,4-11,5,5.5,Maine,Chico,Wagner,2:37,N,46106,.73,--,
16,Thursday Apr 17,boxscore,WSN,@,NYM,L-wo,2,3,14,4-12,5,5.5,Sosa,Hanrahan,,4:45,N,47785,.67,---,
17,Friday Apr 18,boxscore,WSN,@,FLA,W,6,4,,5-12,5,5.0,Redding,Miller,Rauch,2:53,N,13279,.63,+,
18,Saturday Apr 19,boxscore,WSN,@,FLA,L-wo,5,6,,5-13,5,6.0,Gregg,Rivera,,3:19,N,18944,.72,-,
